UF,indice_pim_sem_ajuste,indice_pim _com_ajuste_sazonal,Segmentação,mês,ano
Brasil,92.42064,99.57377877,Indústria geral,4,2017
Brasil,89.97213,98.80470326,Indústria geral,12,2015
Brasil,95.01815,103.4248556,Indústria geral,1,2025
Brasil,99.55177,99.89126049,Indústria geral,3,2017
Brasil,108.09827,114.5024209,Indústria geral,4,2012
Brasil,93.99803,102.9675204,Indústria geral,12,2024
Brasil,107.34819,101.8989422,Indústria geral,7,2017
Brasil,113.82899,103.2426215,Indústria geral,8,2024
Brasil,109.91113,103.0378879,Indústria geral,9,2015
Brasil,110.87912,102.7388159,Indústria geral,10,2017
Brasil,108.34912,102.0737747,Indústria geral,9,2017
Brasil,114.50151,114.9979916,Indústria geral,6,2012
Brasil,109.74694,104.4214259,Indústria geral,9,2024
Brasil,113.31974,103.2764279,Indústria geral,10,2015
Brasil,112.64103,101.4891628,Indústria geral,8,2017
Brasil,113.54651,104.2600659,Indústria geral,10,2024
Brasil,104.68291,114.5204412,Indústria geral,2,2012
Brasil,108.37187,97.8620193,Indústria geral,8,2016
Brasil,103.876,103.9547454,Indústria geral,6,2025
Brasil,96.72772,99.51108246,Indústria geral,4,2016
Brasil,104.43092,99.8314438,Indústria geral,7,2016
Brasil,113.08651,104.6545803,Indústria geral,8,2025
Brasil,112.24037,103.6688629,Indústria geral,7,2025
Brasil,102.14944,98.92328743,Indústria geral,6,2016
Brasil,100.51023,100.1701154,Indústria geral,5,2016
Brasil,105.65274,98.99868999,Indústria geral,9,2016
Brasil,97.51803,99.60986276,Indústria geral,3,2016
Brasil,88.87564,99.14470066,Indústria geral,1,2016
Brasil,93.48471,103.9319258,Indústria geral,2,2025
Brasil,88.41199,100.7662528,Indústria geral,2,2017
Brasil,90.76173,100.2189698,Indústria geral,1,2017
Brasil,99.89161,105.08037,Indústria geral,3,2025
Brasil,90.00232,99.55596464,Indústria geral,12,2016
Brasil,116.1812,114.5645226,Indústria geral,3,2012
Brasil,88.35558,96.71371101,Indústria geral,2,2016
Brasil,100.76965,97.95298245,Indústria geral,11,2016
Brasil,99.24468,104.611991,Indústria geral,4,2025
Brasil,105.07812,97.82699142,Indústria geral,10,2016
Brasil,107.07599,103.8139674,Indústria geral,5,2025
Brasil,105.5798,103.2620735,Indústria geral,11,2017
Brasil,114.4615,103.3644826,Indústria geral,8,2018
Brasil,90.04273,102.7052024,Indústria geral,2,2018
Brasil,103.50713,100.6362319,Indústria geral,5,2024
Brasil,111.24612,104.4768634,Indústria geral,7,2015
Brasil,92.36098,101.3006304,Indústria geral,2,2024
Brasil,111.61924,104.70125,Indústria geral,7,2018
Brasil,129.95274,118.7836665,Indústria geral,8,2012
Brasil,100.49774,104.4059093,Indústria geral,3,2018
Brasil,100.77646,105.3256354,Indústria geral,4,2018
Brasil,108.44442,107.2513216,Indústria geral,5,2015
Brasil,99.72287,102.1553394,Indústria geral,4,2024
Brasil,120.52278,117.2951405,Indústria geral,9,2012
Brasil,107.78466,106.3959323,Indústria geral,6,2015
Brasil,106.10223,105.1575007,Indústria geral,6,2018
Brasil,98.36,93.95241879,Indústria geral,5,2018
Brasil,96.50021,101.8570025,Indústria geral,3,2024
Brasil,95.85064,103.8943455,Indústria geral,1,2018
Brasil,105.19257,105.1869294,Indústria geral,6,2024
Brasil,103.51269,108.59101,Indústria geral,4,2015
Brasil,93.7519,101.61661,Indústria geral,1,2024
Brasil,94.39374,106.2613752,Indústria geral,12,2017
Brasil,113.73341,105.4388381,Indústria geral,8,2015
Brasil,130.27003,118.494513,Indústria geral,10,2012
Brasil,111.98145,103.3893655,Indústria geral,7,2024
Brasil,121.76721,116.9733193,Indústria geral,7,2012
Brasil,105.73437,101.2207907,Indústria geral,9,2018
Brasil,116.90938,113.2266062,Indústrias extrativas,9,2018
Brasil,92.44812,105.679779,Indústrias extrativas,2,2019
Brasil,128.08446,127.8213006,Indústrias extrativas,5,2015
Brasil,124.45172,125.4184929,Indústrias extrativas,1,2015
Brasil,96.49411,101.2214782,Indústrias extrativas,3,2021
Brasil,86.65218,101.0951253,Indústrias extrativas,2,2021
Brasil,123.58628,117.4187587,Indústrias extrativas,10,2018
Brasil,115.22493,115.4287489,Indústrias extrativas,11,2016
Brasil,122.0064,117.6929888,Indústrias extrativas,12,2016
Brasil,100.85846,108.432257,Indústrias extrativas,2,2016
Brasil,118.77428,118.6663793,Indústrias extrativas,6,2018
Brasil,124.76847,128.8163349,Indústrias extrativas,3,2015
Brasil,100.58812,113.1573182,Indústrias extrativas,2,2014
Brasil,112.51948,105.588155,Indústrias extrativas,9,2021
Brasil,111.44074,111.4365608,Indústrias extrativas,6,2016
Brasil,97.07546,104.0532994,Indústrias extrativas,4,2021
Brasil,109.9911,102.9901585,Indústrias extrativas,7,2021
Brasil,123.7175,119.4237668,Indústrias extrativas,12,2018
Brasil,115.75058,113.0796392,Indústrias extrativas,12,2013
Brasil,117.89722,111.4412948,Indústrias extrativas,8,2016
Brasil,120.76449,113.1059269,Indústrias extrativas,8,2018
Brasil,114.72825,105.7086824,Indústrias extrativas,8,2021
Brasil,104.83943,109.9140215,Indústrias extrativas,4,2016
Brasil,104.30881,104.7642483,Indústrias extrativas,6,2021
Brasil,117.97489,112.1157964,Indústrias extrativas,10,2016
Brasil,116.10302,115.8908556,Indústrias extrativas,11,2013
Brasil,105.64588,106.8215192,Indústrias extrativas,5,2021
Brasil,104.83632,108.8167422,Indústrias extrativas,3,2016
Brasil,122.27989,117.939957,Indústrias extrativas,7,2018
Brasil,117.07733,113.4396129,Indústrias extrativas,7,2016
Brasil,124.04402,128.9768098,Indústrias extrativas,4,2015
Brasil,119.76432,120.5663312,Indústrias extrativas,1,2019
Brasil,118.20499,118.7811212,Indústrias extrativas,11,2018
Brasil,111.50309,113.3478137,Indústrias extrativas,1,2014
Brasil,116.34943,114.0567346,Indústrias extrativas,9,2016
Brasil,113.7199,126.7674949,Indústrias extrativas,2,2015
Brasil,97.39743,98.70243333,Indústrias extrativas,11,2020
Brasil,96.85168,103.3822665,Indústrias extrativas,3,2019
Brasil,118.8175,119.1417279,Indústrias extrativas,6,2017
Brasil,117.81546,117.3697709,Indústrias extrativas,1,2018
Brasil,117.12345,117.4870399,Indústrias extrativas,6,2014
Brasil,94.63612,96.8413913,Indústrias extrativas,5,2020
Brasil,120.95548,115.7185755,Indústrias extrativas,7,2017
Brasil,118.48111,109.3309016,Indústrias extrativas,8,2019
Brasil,93.62773,100.1209173,Indústrias extrativas,4,2020
Brasil,120.69142,114.5046128,Indústrias extrativas,8,2017
Brasil,124.39125,120.3009339,Indústrias extrativas,7,2014
Brasil,113.71781,108.8411,Indústrias extrativas,9,2019
Brasil,96.45762,102.8978083,Indústrias extrativas,3,2020
Brasil,129.21393,123.2560152,Indústrias extrativas,10,2015
Brasil,130.02775,124.5912605,Indústrias extrativas,10,2014
Brasil,133.23689,127.151177,Indústrias extrativas,8,2015
Brasil,117.78314,114.5873419,Indústrias extrativas,12,2017
Brasil,92.83281,101.6879424,Indústrias extrativas,2,2020
Brasil,114.55644,109.3561913,Indústrias extrativas,10,2019
Brasil,118.5837,114.9602299,Indústrias extrativas,9,2017
Brasil,128.45124,123.353608,Indústrias extrativas,8,2014
Brasil,120.79089,116.1242998,Indústrias extrativas,10,2017
Brasil,128.3123,126.5630499,Indústrias extrativas,9,2015
Brasil,101.69646,102.914094,Indústrias extrativas,1,2020
Brasil,107.10784,107.518232,Indústrias extrativas,11,2019
Brasil,124.82072,122.6041647,Indústrias extrativas,9,2014
Brasil,116.40688,116.2624158,Indústrias extrativas,11,2017
Brasil,102.01153,115.1216686,Indústrias extrativas,2,2018
Brasil,100.22759,100.6045626,Indústrias extrativas,6,2020
Brasil,122.42012,122.9236021,Indústrias extrativas,11,2014
Brasil,110.34308,110.6527325,Indústrias extrativas,11,2015
Brasil,118.05963,119.3448289,Indústrias extrativas,1,2017
Brasil,120.61424,121.5281773,Indústrias extrativas,5,2018
Brasil,85.31562,91.85798098,Indústrias extrativas,4,2019
Brasil,103.76011,105.276069,Indústrias extrativas,1,2016
Brasil,113.70503,113.7357049,Indústrias extrativas,5,2016
Brasil,104.56721,100.8070798,Indústrias extrativas,12,2020
Brasil,108.03582,120.9927088,Indústrias extrativas,2,2017
Brasil,108.75439,105.7713528,Indústrias extrativas,12,2019
Brasil,100.46342,101.5362533,Indústrias extrativas,5,2019
Brasil,127.16843,126.8774864,Indústrias extrativas,6,2015
Brasil,128.17597,123.9637143,Indústrias extrativas,12,2014
Brasil,111.15067,116.512078,Indústrias extrativas,4,2014
Brasil,102.00902,105.3152685,Indústrias extrativas,1,2021
Brasil,107.54725,101.9942908,Indústrias extrativas,10,2020
Brasil,114.91462,119.0187515,Indústrias extrativas,3,2017
Brasil,108.98349,103.1227884,Indústrias extrativas,9,2020
Brasil,113.85183,110.4617087,Indústrias extrativas,12,2015
Brasil,111.83411,116.3789227,Indústrias extrativas,3,2018
Brasil,116.38574,106.420611,Indústrias extrativas,8,2020
Brasil,101.43085,102.5259311,Indústrias extrativas,6,2019
Brasil,111.80093,118.4419451,Indústrias extrativas,4,2017
Brasil,119.0604,117.331846,Indústrias extrativas,5,2014
Brasil,111.59502,105.0895564,Indústrias extrativas,7,2019
Brasil,113.13214,106.8248569,Indústrias extrativas,7,2020
Brasil,119.92573,119.4273318,Indústrias extrativas,5,2017
Brasil,128.9601,124.502463,Indústrias extrativas,7,2015
Brasil,110.45269,117.3149134,Indústrias extrativas,4,2018
Brasil,102.42024,98.61105232,Indústrias extrativas,10,2021
Brasil,113.02179,115.7660929,Indústrias extrativas,3,2014
Brasil,111.10247,105.7914885,Indústrias extrativas,9,2024
Brasil,114.22976,115.9578681,Indústrias extrativas,3,2012
Brasil,111.42544,116.3006915,Indústrias extrativas,4,2012
Brasil,104.96753,109.3794444,Indústrias extrativas,4,2013
Brasil,114.89694,112.8564313,Indústrias extrativas,6,2025
Brasil,125.2329,120.2316132,Indústrias extrativas,10,2012
Brasil,97.3028,102.4669731,Indústrias extrativas,3,2022
Brasil,106.76081,106.6799907,Indústrias extrativas,5,2023
Brasil,98.39108,97.41110968,Indústrias extrativas,6,2022
Brasil,116.43788,115.7815142,Indústrias extrativas,6,2012
Brasil,101.60158,96.78411929,Indústrias extrativas,12,2022
Brasil,99.17718,105.0379755,Indústrias extrativas,1,2025
Brasil,104.9228,109.9538277,Indústrias extrativas,1,2024
Brasil,112.48542,109.4728031,Indústrias extrativas,10,2023
Brasil,87.37175,102.1351382,Indústrias extrativas,2,2022
Brasil,110.63187,108.9834994,Indústrias extrativas,5,2013
Brasil,118.01646,111.6637509,Indústrias extrativas,8,2013
Brasil,95.17081,97.10208493,Indústrias extrativas,5,2022
Brasil,108.60698,112.3783021,Indústrias extrativas,3,2025
Brasil,116.5455,106.9827194,Indústrias extrativas,8,2024
Brasil,120.43343,116.3864185,Indústrias extrativas,7,2012
Brasil,108.47377,115.9266518,Indústrias extrativas,2,2012
Brasil,109.22538,111.5161493,Indústrias extrativas,1,2013
Brasil,110.60854,109.2151748,Indústrias extrativas,6,2024
Brasil,120.79578,119.5597159,Indústrias extrativas,5,2012
Brasil,106.68699,106.354888,Indústrias extrativas,5,2024
Brasil,95.78282,102.1921738,Indústrias extrativas,4,2022
Brasil,112.6565,112.666064,Indústrias extrativas,11,2023
Brasil,116.55067,111.3641119,Indústrias extrativas,7,2013
Brasil,109.35945,108.0547297,Indústrias extrativas,6,2023
Brasil,98.15732,99.10888166,Indústrias extrativas,11,2022
Brasil,120.53806,114.7471676,Indústrias extrativas,8,2012
Brasil,112.64665,108.1957295,Indústrias extrativas,10,2022
Brasil,112.7973,113.5525,Indústrias extrativas,11,2012
Brasil,119.61433,115.9385097,Indústrias extrativas,12,2023
Brasil,107.73581,107.2361048,Indústrias extrativas,11,2024
Brasil,115.03066,108.4551145,Indústrias extrativas,9,2023
Brasil,110.04234,106.2952432,Indústrias extrativas,10,2024
Brasil,105.73596,100.1117005,Indústrias extrativas,7,2022
Brasil,113.37046,106.5874219,Indústrias extrativas,7,2023
Brasil,96.1627,102.8787045,Indústrias extrativas,4,2024
